doi,title,year,authors,journal,source,campaign,notes
10.5194/essd-2020-406,"Turbulence Dissipation Rate Estimated from Lidar Observations
During the LAPSE-RATE Field Campaign",2020,"Miguel Sanchez Gomez, Julie K. Lundquist, Petra M. Klein, Tyler Bell",(missing journal),research_rabbit_csv,,
10.2172/1510259,Atmospheric Radiation Measurement (ARM) User Facility: ARM Mobile Facility Workshop Report,2019,"Sally McFarlane, Shaima L. Nasiri, Rick Petty, Nicki Hickmon, Rob Wood, Guang J. Zhang, Mike Jensen, Stephen A. Klein, L. Ruby Leung, David B. Mechem, Paquita Zuidema",(missing journal),research_rabbit_csv,,
10.1175/bams-d-22-0049.1,The Surface Atmosphere Integrated Field Laboratory (SAIL) Campaign,2023,"Daniel Feldman, A. C. Aiken, William R. Boos, Rosemary Carroll, V. Chandrasekar, Scott Collis, Jessie M. Creamean, Gijs de Boer, J. S. Deems, Paul J. DeMott, Jiwen Fan, Alejandro N. Flores, David Gochis, Maxwell Grover, Thomas C. J. Hill, Anna L. Hodshire, Erik Hulm, Carson Hume, Robert Jackson, Francesc Junyent, Aaron Kennedy, Matthew R. Kumjian, Ezra J. T. Levin, Jessica D. Lundquist, Joseph J. O’Brien, Mark S. Raleigh, Jennifer Reithel, Alan M. Rhoades, Karl Rittger, William Rudisill, Zachary Sherman, Erica R. Siirila‐Woodburn, S. McKenzie Skiles, James N. Smith, Ryan C. Sullivan, Adam Theisen, Matt Tuftedal, Adam Varble, Andrew Wiedlea, Stijn Wielandt, Kenneth H. Williams, Zexuan Xu",Bulletin of The American Meteorological Society - (BAMS),research_rabbit_csv,,
10.5194/essd-2020-314,"Remote sensing and radiosonde datasets collected in the San Luis
Valley during the LAPSE-RATE campaign",2020,"Tyler Bell, Petra M. Klein, Julie K. Lundquist, Sean Waugh",(missing journal),research_rabbit_csv,,
10.1029/2023jd038497,Impact of Seasonal Snow‐Cover Change on the Observed and Simulated State of the Atmospheric Boundary Layer in a High‐Altitude Mountain Valley,2023,"Bianca Adler, James M. Wilczak, L. Bianco, Ludovic Bariteau, Christopher J. Cox, Gijs de Boer, Irina V. Djalalova, Michael Gallagher, Janet Intrieri, Tilden P. Meyers, Timothy A. Myers, Joseph B. Olson, Sergio Pezoa, Joseph Sedlar, Elizabeth Smith, David D. Turner, Allen B. White",Journal of Geophysical Research: Atmospheres,research_rabbit_csv,,
10.5194/amt-17-4087-2024,A multi-instrument fuzzy logic boundary-layer-top detection algorithm,2024,"Elizabeth Smith, Jacob T. Carlin",Atmospheric measurement techniques,research_rabbit_csv,,
10.1175/bams-d-22-0147.1,Supporting Advancement in Weather and Water Prediction in the Upper Colorado River Basin: The SPLASH Campaign,2023,"Gijs de Boer, Allen B. White, Rob Cifelli, Janet Intrieri, Mimi Rose Abel, Kelly Mahoney, Tilden P. Meyers, Kathy Lantz, Jonathan Hamilton, William Currier, Joseph Sedlar, Christopher J. Cox, Erik Hulm, Laura Riihimaki, Bianca Adler, L. Bianco, Annareli Morales, James M. Wilczak, Jack Elston, Maciej Stachura, Darren L. Jackson, Sara Morris, V. Chandrasekar, Sounak Biswas, Benjamin Schmatz, Francesc Junyent, Jennifer Reithel, Elizabeth Smith, Katya Schloesser, John Kochendorfer, Mike Meyers, Michael Gallagher, Jake Longenecker, C. Olheiser, Janice L. Bytheway, Benjamin J. Moore, Radiance Calmer, Matthew D. Shupe, Brian Butterworth, Stella Heflin, Rachel Palladino, Daniel Feldman, Kenneth H. Williams, James O. Pinto, Jackson Osborn, Dave Costa, Emiel Hall, Christian Herrera, Gary Hodges, Logan Soldo, Scott Stierle, Robert S. Webb",Bulletin of The American Meteorological Society - (BAMS),research_rabbit_csv,,
10.1175/jamc-d-23-0231.1,Contextualizing Polarimetric Retrievals of Boundary Layer Height using State-of-the-Art Boundary Layer Profiling,2024,"Jacob T. Carlin, Elizabeth Smith, Katherine Giannakopoulos",Journal of Applied Meteorology and Climatology,research_rabbit_csv,,
10.1175/mwr-d-20-0080.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-18-0246.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-17-0152.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-17-0064.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/wcas-d-17-0073.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-17-0104.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-17-0120.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jas-d-17-0385.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-19-0146.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-18-0300.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-18-0011.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jas-d-18-0276.1,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2018jd029055,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2019gl084099,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-19-0099.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jas-d-20-0164.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-20-0280.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-20-0226.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-22-0228.1,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2020gl088242,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2023gl102825,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2020jd033870,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-21-0265.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-22-0016.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-22-0288.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-24-0166.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-22-0313.1,,,,,vortex_usa_list,VORTEX-USA,
10.3390/atmos15030309,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-23-0262.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-18-0257.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-21-0281.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jamc-d-18-0224.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-18-0211.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-20-0136.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jas-d-19-0321.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jtech-d-17-0065.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-18-0184.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jas-d-20-0120.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jtech-d-21-0176.1,,,,,vortex_usa_list,VORTEX-USA,
10.1029/2021ea002081,,,,,vortex_usa_list,VORTEX-USA,
10.1175/bams-d-23-0319.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-24-0153.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jtech-d-23-0134.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-20-0281.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-22-0227.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-22-0176.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-16-0410.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-19-0085.1,,,,,vortex_usa_list,VORTEX-USA,
10.1016/j.atmosres.2018.09.004,,,,,vortex_usa_list,VORTEX-USA,
10.1175/jamc-d-19-0195.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-23-0106.1,,,,,vortex_usa_list,VORTEX-USA,
10.3390/atmos14050767,,,,,vortex_usa_list,VORTEX-USA,
10.1175/wcas-d-21-0171.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-22-0047.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-22-0123.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-23-0042.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-25-0006.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-16-0104.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/bams-d-23-0234.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/waf-d-19-0090.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/bams-d-24-0162.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/mwr-d-24-0108.1,,,,,vortex_usa_list,VORTEX-USA,
10.1175/bams-d-23-0265.1,,,,,campaign_anchor,TORUS,anchor paper
10.1175/bams-d-23-0331.1,,,,,campaign_anchor,TRACER,anchor paper
10.1175/bams-d-23-0014.1,,,,,campaign_anchor,TRACER,anchor paper
10.1063/5.0211717,,,,,campaign_anchor,AWAKEN,anchor paper
